City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
tura,48,IN,1551897357,61,25.52,90.21,61.87,4.43
deputatskiy,0,RU,1551897109,0,69.3,139.9,-33.76,2.75
manica,90,MZ,1551895200,94,-18.94,32.88,69.8,9.17
hope,75,CA,1551897089,72,49.38,-121.43,39.0,14.99
xique-xique,12,BR,1551897358,49,-10.82,-42.73,90.04,9.01
padang,40,ID,1551895200,88,-0.92,100.36,80.6,2.24
mazamari,24,PE,1551897359,71,-11.33,-74.53,78.56,2.53
lagoa,40,PT,1551897128,51,37.14,-8.45,60.01,10.29
si bun ruang,0,TH,1551897360,55,16.97,102.28,70.87,4.21
samfya,44,ZM,1551897361,80,-11.37,29.56,71.86,5.21
simi valley,90,US,1551897119,100,34.27,-118.78,60.8,12.75
marfino,0,RU,1551896963,57,56.07,37.56,21.2,8.95
goderich,0,CA,1551897229,67,43.74,-81.71,18.0,18.01
tilichiki,32,RU,1551897362,70,60.47,166.1,12.82,6.67
storforshei,75,NO,1551897013,92,66.4,14.52,24.01,4.7
morro bay,90,US,1551897313,93,35.37,-120.85,61.0,17.22
adre,0,TD,1551897363,42,13.47,22.2,78.65,4.32
asyut,0,EG,1551891600,48,27.18,31.19,60.8,11.41
blairmore,90,CA,1551896160,71,49.61,-114.44,17.6,2.24
sabang,24,PH,1551897365,98,13.72,123.58,73.43,3.42
kahului,40,US,1551897228,77,20.89,-156.47,71.01,12.75
raudeberg,75,NO,1551897302,80,61.99,5.14,39.2,8.05
rio gallegos,40,AR,1551895200,66,-51.62,-69.22,48.2,17.22
jieshi,88,CN,1551897367,100,22.82,115.83,65.06,9.46
kamina,44,CD,1551897367,83,-8.74,25.0,74.11,3.65
sohbatpur,12,PK,1551897368,66,28.52,68.54,60.92,6.78
isilkul,88,RU,1551897369,87,54.9,71.26,30.32,15.84
krasnomayskiy,90,RU,1551895200,85,55.0,82.52,19.4,6.71
altay,36,CN,1551897369,81,47.83,88.13,17.72,1.19
kisangani,80,CD,1551897370,100,0.52,25.21,72.94,1.63
matara,75,PE,1551895200,71,-13.74,-72.9,51.8,9.17
lerwick,75,GB,1551896400,87,60.15,-1.15,42.8,19.46
emba,20,CY,1551895200,67,34.81,32.42,57.2,9.17
waseca,1,US,1551897306,67,44.08,-93.51,19.0,10.29
launceston,0,AU,1551897328,74,-41.43,147.14,44.01,4.7
faya,40,SA,1551895200,82,18.39,42.45,57.2,10.29
kavaratti,8,IN,1551897374,100,10.57,72.64,82.12,15.84
san pedro,12,AR,1551896668,58,-33.68,-59.66,89.01,3.0
rio grande,0,BR,1551895200,66,-32.03,-52.1,87.8,9.17
neiafu,40,TO,1551895200,83,-18.65,-173.98,77.0,3.36
jumla,0,NP,1551897378,87,29.28,82.18,10.61,1.74
cayenne,40,GF,1551897000,66,4.94,-52.33,86.0,13.87
besikduzu,75,TR,1551894600,71,41.05,39.23,52.0,4.7
ruidoso,1,US,1551897126,24,33.33,-105.67,63.0,6.93
hundested,92,DK,1551897320,93,55.97,11.85,42.8,14.99
los algarrobos,75,EC,1551895200,66,-3.25,-79.94,89.6,9.17
petropavlovsk-kamchatskiy,80,RU,1551895200,66,53.05,158.65,14.0,7.78
hofn,75,IS,1551895200,64,64.25,-15.21,33.8,16.11
sokoni,68,CD,1551897380,98,-12.89,28.78,65.11,2.42
mattru,0,SL,1551897380,28,7.62,-11.83,98.09,5.1
havelock,1,US,1551897133,35,34.88,-76.9,44.01,13.87
yanam,0,IN,1551891600,65,16.73,82.22,82.4,5.82
tucuman,0,PE,1551897381,58,-17.17,-70.89,73.7,3.98
petropavlivka,0,UA,1551897385,81,48.46,36.42,36.35,5.99
krumovgrad,36,BG,1551897012,73,41.47,25.65,55.99,1.01
verkhniy fiagdon,40,RU,1551891600,45,42.83,44.31,48.2,8.95
victoria,75,BN,1551895200,94,5.28,115.24,80.6,2.75
hua hin,0,TH,1551897337,99,12.57,99.96,83.47,16.51
sharhorod,75,UA,1551897118,74,48.75,28.08,39.99,4.47
turukhansk,24,RU,1551897387,82,65.8,87.96,3.23,7.34
bandarbeyla,0,SO,1551897387,100,9.49,50.81,78.65,10.13
oro valley,1,US,1551897253,14,32.39,-110.97,82.0,9.17
grand gaube,40,MU,1551897244,83,-20.01,57.66,78.8,6.93
saint-louis,0,CH,1551897352,80,47.59,7.56,57.99,10.29
upington,20,ZA,1551895200,13,-28.46,21.24,95.0,3.36
kruisfontein,0,ZA,1551897389,71,-34.0,24.73,70.64,14.27
chambas,75,CU,1551894600,69,22.19,-78.91,78.8,17.22
laguna,75,MX,1551894000,36,27.52,-110.01,78.8,2.24
lukiv,8,UA,1551895837,93,51.05,25.4,34.0,2.98
khvoynaya,0,RU,1551897391,67,58.9,34.53,13.94,7.9
presidente franco,40,PY,1551895200,59,-25.57,-54.62,91.4,10.29
lompoc,90,US,1551897220,82,34.64,-120.46,61.0,6.93
grenville,40,CA,1551897234,43,45.62,-74.6,18.0,9.17
cap-aux-meules,20,CA,1551895200,72,47.38,-61.86,17.6,14.99
tautira,20,PF,1551897191,66,-17.73,-149.15,84.2,3.36
berlevag,40,NO,1551894600,67,70.86,29.09,19.4,21.92
abha,40,SA,1551895200,82,18.22,42.5,57.2,10.29
abu zabad,24,SD,1551897394,22,12.35,29.25,77.48,12.37
kimbe,48,PG,1551897394,100,-5.56,150.15,79.19,4.32
taonan,0,CN,1551897395,43,45.34,122.78,20.24,6.22
santander,40,PH,1551895200,78,9.42,123.33,78.8,4.7
port moresby,90,PG,1551895200,94,-9.47,147.16,77.0,3.36
esperance,75,TT,1551897103,55,10.24,-61.45,87.8,13.87
bulaevo,92,KZ,1551897396,89,54.91,70.44,32.03,19.08
norrtalje,75,SE,1551897231,95,59.76,18.7,34.0,4.7
pokrovsk,0,UA,1551897179,71,48.28,37.18,37.61,6.33
myaundzha,0,RU,1551897398,0,63.05,147.18,-29.44,2.64
la primavera,20,AR,1551895200,48,-32.92,-68.67,82.4,9.17
saint-augustin,92,FR,1551897369,87,44.83,-0.61,54.0,6.93
aswan,0,EG,1551897399,50,24.09,32.9,57.64,7.34
burgthann,0,DE,1551897247,66,49.36,11.32,51.01,12.75
mahon,40,IE,1551896993,87,51.89,-8.4,44.01,21.92
druzhba,0,UA,1551897174,65,49.36,25.65,39.99,1.01
hokitika,92,NZ,1551897401,100,-42.72,170.96,60.83,9.69
sandane,75,NO,1551897302,100,61.77,6.22,39.2,9.17
yeppoon,75,AU,1551895200,83,-23.13,150.74,77.0,3.36
nata,20,CY,1551895200,67,34.78,32.57,57.2,9.17
sao joao da barra,20,BR,1551891600,49,-21.64,-41.05,89.6,16.11
eyl,0,SO,1551897403,95,7.98,49.82,77.03,13.82
buraydah,0,SA,1551895200,51,26.33,43.97,60.8,5.82
banjar,92,ID,1551897404,97,-7.37,108.54,72.53,1.3
moberly,1,US,1551897300,46,39.42,-92.44,30.99,10.29
verkhoyansk,36,RU,1551897405,32,67.55,133.39,-23.23,2.64
hohhot,0,CN,1551895200,37,40.81,111.65,19.4,4.47
komsomolskiy,76,RU,1551897406,77,67.55,63.78,6.07,8.79
casablanca,75,MA,1551897049,87,33.6,-7.62,59.0,9.17
ahtopol,0,BG,1551897049,61,42.1,27.94,53.01,8.05
kenitra,75,MA,1551897049,87,34.26,-6.57,57.99,11.41
nueva rosita,44,MX,1551897407,48,27.94,-101.22,48.64,8.46
vardo,75,US,1551897406,45,39.62,-77.74,28.99,18.34
aksha,0,RU,1551897408,58,50.28,113.29,11.11,2.75
otane,0,NZ,1551897408,84,-39.89,176.62,43.82,3.42
buta,64,CD,1551897409,73,2.79,24.73,77.75,2.75
ouesso,88,CG,1551897409,80,1.61,16.05,79.82,2.86
coroico,75,BO,1551895200,62,-16.19,-67.73,53.6,11.41
auki,0,NG,1551897410,29,12.18,6.51,86.57,3.76
